group,species,family
Plant,Barleria unknown,Acanthaceae
Plant,Dyschoriste radicans,Acanthaceae
Plant,Hypoestes verticillaris,Acanthaceae
Plant,Justicia unknown,Acanthaceae
Plant,Monechma unknown,Acanthaceae
Plant,Achyranthes aspera,Amaranthaceae
Plant,Aerva lanata,Amaranthaceae
Plant,Amaranthus graecizans,Amaranthaceae
Plant,Amaranthus unknown,Amaranthaceae
Plant,Chenopodium unknown,Amaranthaceae
Plant,Cyathula orthacantha,Amaranthaceae
Plant,Psilotrichum ellioti,Amaranthaceae
Plant,Pupalia lappacea,Amaranthaceae
Plant,Rhus natalensis,Anacardiaceae
Plant,Aspidoglossum angustissimum,Apocynaceae
Plant,Carissa edulis,Apocynaceae
Plant,Asparagus unknown,Asparagaceae
Plant,Sansevieria unknown,Asparagaceae
Plant,Aspilia unknown,Asteraceae
Plant,Bidens pilosa,Asteraceae
Plant,Emilia unknown,Asteraceae
Plant,Galinsoga parviflora,Asteraceae
Plant,Gutenbergia cordifolia,Asteraceae
Plant,Helichrysum glumaceum,Asteraceae
Plant,Hirpicium unknown,Asteraceae
Plant,Kleinia unknown,Asteraceae
Plant,Osteospermum unknown,Asteraceae
Plant,Osteospermum vaillantii,Asteraceae
Plant,Psiadia punctulata,Asteraceae
Plant,Schkuhria pinnata,Asteraceae
Plant,Schkuhria unknown,Asteraceae
Plant,Senecio stuhlmannii,Asteraceae
Plant,Sphaeranthus suaveolens,Asteraceae
Plant,Tagetes minuta,Asteraceae
Plant,Cordia monoica,Boraginaceae
Plant,Commiphora unknown,Burseraceae
Plant,Boscia unknown,Capparaceae
Plant,Cadaba farinosa,Capparaceae
Plant,Capparis tomentosa,Capparaceae
Plant,Pollichia campestris,Caryophyllaceae
Plant,Maytenus unknown,Celastraceae
Plant,Combretum unknown,Combretaceae
Plant,Commelina unknown,Commelinaceae
Plant,Ipomoea sinensis,Convolvulaceae
Plant,Kalanchoe unknown,Crassulaceae
Plant,Cucumis unknown,Cucurbitaceae
Plant,Cyperus unknown,Cyperaceae
