"site","ranch","treatment","landuse","year","pair_id","Orycteropus_afer","Proteles_cristata","Syncerus_caffer","Civettictis_civetta","Oryx_beisa","Canis_mesomelas","Diceros_bicornis","Sylvicapra_grimmia","Potamochoerus_larvatus","Tragelaphus_sp","Caracal_caracal","Acinonyx_jubatus","Genetta_genetta","Phacochoerus_africanus","Equus_quagga","Hystrix_cristata","Helogale_parvula","Taurotragus_sp","Loxodonta_sp","Litocranius_walleri","Giraffa_camelopardalis","Nanger_granti","Tragelaphus_strepsiceros","Equus_grevyi","Madoqua_guentheri","Mellivora_capensis","Hippopotamus_amphibius","Aepyceros_melampus","Oreotragus_oreotragus","Alcelaphus_buselaphus","Panthera_pardus","Panthera_leo","Papio_anubis","Erythrocebus_patas","Procavia_capensis","Lepus_saxatilis","Leptailurus_serval","Galerella_sanguinea","Crocuta_crocuta","Raphicerus_campestris","Xerus_erythropus","Hyaena_hyaena","Eudorcas_thomsonii","Chlorocebus_pygerythrus","Kobus_ellipsiprymnus","Ichneumia_albicauda","Ceratotherium_simum","Felis_sylvestris","Lycaon_pictus","Ictonyx_striatus","Bos_taurus","Camelus_dromedarius","Capra_hircus","Equus_asinus","Equus_caballus","Ovis_aries","longitude","latitude","annual_rainfall","frac_veg","erosion","root_dep_res_50cm","soil_org_carb","pH","sand","soil_pc1","soil_pc2"
"KEN-001-D0001","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,4.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.977,0,0,4.988,0,0,0,0,0,0,0,0,0,0,0,54.872,0,0,0,0,0,36.58653,0.18214,710.4188843,0.539377763,0.616,0.24,13.0304265,5.874470143,8.575960917,-1.059566613,-1.054616652
"KEN-001-D0002","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,54.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.58663,0.19025,707.6231079,0.754645944,0.476,0.518,13.24116251,6.088043601,13.88309697,-0.668327158,0.62395238
"KEN-001-D0004","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988,0,0,0,0,0,36.59433,0.19828,702.5669556,0.456657185,0.272,0.304,17.29524269,5.983857,12.5735345,-1.78909205,-1.052780912
"KEN-001-D0005","Kifuko","Fenced","Fenced",2010,NA,9.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.661,0,0,0,0,0,0,0,4.988,0,0,9.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988,0,0,0,0,0,36.58676,0.19827,706.237915,0.574657455,0.528,0.354,29.35547193,5.870910333,12.67325008,-1.996005916,0.161883861
"KEN-001-D0006","Kifuko","Fenced","Fenced",2010,NA,4.99,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,36.57898,0.19867,713.8082886,0.206756954,0.422,0.202,19.82597292,6.236213905,17.38529525,-0.873786939,-1.450752567
"KEN-001-D0007","Kifuko","Fenced","Fenced",2010,NA,0,0,4.992,0,0,0,0,0,0,9.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.966,0,0,0,0,0,0,0,0,0,0,19.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.983,0,0,0,0,0,36.5784,0.20645,712.3301392,0.784407937,0.314,0.592,24.28802345,5.387256794,15.01403257,-2.791018106,1.259889301
"KEN-001-D0008","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,4.993,0,4.993,0,0,0,0,0,0,4.993,0,0,0,0,0,0,0,9.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.985,0,0,0,0,0,36.57852,0.21436,709.3847656,0.528407786,0.48,0.406,15.33424414,6.105298,20.37943275,-0.387087172,-0.116265794
"KEN-001-D0009","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.903,0,0,0,0,0,36.57035,0.2149,713.9441528,0.438644715,0.356,0.288,9.749929494,5.949264333,17.51938217,-0.850436963,-1.332053522
"KEN-001-D0010","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56243,0.21458,717.4902344,0.224323485,0.458,0.232,10.2801622,6.008245,17.478225,-0.539541217,-1.532053793
"KEN-001-D0011","Kifuko","Fenced","Fenced",2010,NA,0,0,9.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.981,0,0,4.991,4.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.554,0.21422,725.4366455,0.194584496,0.37,0.32,8.820952546,5.860096667,15.48098267,-1.015474841,-1.106759153
"KEN-001-D0012","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.992,0,0,0,0,0,0,0,0,0,0,4.996,0,0,0,4.996,0,4.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5624,0.20635,721.0146484,0.4609075,0.416,0.544,17.050965,5.907947333,20.88782067,-0.893628549,0.796752652
"KEN-001-D0013","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.992,0,0,0,0,0,0,0,0,0,0,9.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.992,0,0,0,0,0,36.5544,0.20609,728.7805786,0.530414133,0.246,0.418,24.95510022,6.03455,14.88973492,-2.057111672,-0.036835965
"KEN-001-D0014","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,19.991,0,9.995,0,0,0,0,0,0,0,4.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.55455,0.19811,730.4429932,0.592661237,0.342,0.354,30.71974896,6.160369667,12.88302792,-2.103567905,-0.098253946
"KEN-001-D0015","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.55454,0.1903,728.5571289,0.506900275,0.436,0.422,21.60019016,6.047729,16.69447608,-1.207032581,0.174189401
"KEN-001-D0017","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.53817,0.19037,744.8483276,0.527156276,0.36,0.238,22.40390935,5.975323333,18.28730208,-1.54115334,-1.217064409
"KEN-001-D0018","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.003,0,0,0,0,0,0,0,0,0,0,10.003,0,0,0,0,0,5.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.53794,0.18183,744.5956421,0.595409148,0.228,0.312,24.81504137,6.043361333,13.50491597,-2.209621884,-0.801794953
"KEN-001-D0019","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,10.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54627,0.19785,734.6152344,0.633905868,0.32,0.072,20.72891951,6.171074333,16.73169825,-1.394622121,-2.490572243
"KEN-001-D0020","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,10.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.001,0,0,0,15.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54626,0.20633,732.930542,0.352137884,0.22,0.408,17.26051991,6.028889667,17.49524125,-1.503854596,-0.447864376
"KEN-001-D0021","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,5.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.047,0,0,0,0,0,0,5.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5864,0.20613,704.859375,0.617655279,0.34,0.422,28.15380117,6.040602667,13.66630108,-2.067696002,0.272815098
"KEN-001-D0022","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.58848,0.21424,702.12146,0.720388646,0.364,0.514,27.19038998,6.260209333,10.91095925,-1.736660839,0.938745384
"KEN-001-D0023","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,4.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.977,0,0,0,0,0,0,0,0,0,14.932,0,0,0,4.977,0,0,0,0,0,0,36.57064,0.20687,715.4961548,0.414907463,0.326,0.42,14.08813199,5.983897333,16.03595483,-1.186202915,-0.293691005
"KEN-001-D0024","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.973,0,0,0,0,0,0,0,0,0,0,114.376,0,0,0,0,0,0,0,0,0,0,4.973,0,0,0,0,0,0,0,0,19.892,0,0,0,0,0,0,0,0,0,0,0,36.5701,0.19803,718.5983887,0.414320739,0.438,0.476,12.55276983,6.143141024,13.02544556,-0.710244698,0.248611078
"KEN-001-D0026","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.982,0,0,0,0,0,0,4.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56231,0.19805,722.6044312,0.562156822,0.286,0.138,20.50822543,5.849694667,15.9350135,-2.008974527,-2.092394342
"KEN-001-D0027","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,4.977,0,4.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.977,0,0,0,0,0,36.57051,0.19047,720.1501465,0.112788662,0.406,0.21,14.25468127,5.924278,12.84317075,-1.357119661,-1.597425882
"KEN-001-D0028","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,4.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.57652,0.19055,715.2909546,-0.15996577,0.438,0.286,20.7458907,5.908977,12.31830717,-1.697761221,-0.773995809
"KEN-001-D0029","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,4.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.979,0,0,0,0,0,36.57032,0.18158,719.6890869,0.62066273,0.288,0.348,24.27351037,6.018882667,12.71809792,-2.091633584,-0.465406064
"KEN-001-D0030","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.77,0,0,0,0,0,36.56238,0.1824,727.3775635,0.530163849,0.25,0.366,26.34404824,6.058356,13.84125833,-2.179133395,-0.334923068
"KEN-001-D0031","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.933,0,0,0,0,0,0,0,0,0,0,0,36.55423,0.1822,731.6859131,0.55591669,0.282,0.46,23.80752103,6.186114571,13.23498,-1.739432528,0.286147089
"KEN-001-D0032","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,24.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54635,0.18194,735.9371338,0.039301873,0.454,0.384,13.94489381,6.154040333,14.40285058,-0.681668314,-0.324176402
"KEN-001-D0033","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.819,0,0,0,0,0,36.54633,0.17374,737.5407104,0.683161686,0.404,0.478,37.26343095,6.150199667,14.65516925,-2.195580795,1.096768772
"KEN-001-D0034","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.985,0,0,0,0,19.938,0,0,0,0,0,36.54626,0.16593,740.7981567,0.66115685,0.426,0.436,36.47271189,6.038436333,14.8165585,-2.271240286,0.81000763
"KEN-001-D0035","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.994,0,0,0,0,0,36.55449,0.16597,736.4891968,0.615910803,0.43,0.402,23.28328268,6.204765952,14.296197,-1.235946333,0.103026039
"KEN-001-D0036","Kifuko","Fenced","Fenced",2010,NA,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,36.55451,0.17357,733.2695313,0.59791045,0.472,0.394,31.8332233,6.085795667,14.21552717,-1.843107768,0.42904057
