site,landuse,pair_id,acalypha_unknown,achyranthes_aspera,aerva_lanata,amaranthus_graecizans,amaranthus_unknown,anagallis_arvensis,asparagus_unknown,aspidoglossum_angustissimum,aspilia_unknown,balanites_unknown,barleria_unknown,bidens_pilosa,cassia_unknown,chenopodium_unknown,commelina_unknown,craterostigma_unknown,crotalaria_deflersii,croton_unknown,cucumis_unknown,cyathula_orthacantha,cyphostemma_serpens,datura_stramonium,emilia_unknown,galinsoga_parviflora,helichrysum_glumaceum,hirpicium_unknown,hypoestes_verticillaris,ipomoea_sinensis,justicia_unknown,leucas_unknown,lilium_unknown,lippia_unknown,lippia_javanica,melhania_velutina,misopates_orontium,mollugo_unknown,monechma_unknown,monsonia_angustifolia,ocimum_unknown,osteospermum_unknown,osteospermum_vaillantii,oxalis_corniculata,pavonia_unknown,polygala_unknown,polygonum_senegalense,psilotrichum_ellioti,pupalia_lappacea,rhus_natalensis,rhynchosia_unknown,schkuhria_unknown,senecio_stuhlmannii,solanum_incanum,solanum_indicum,sphaeranthus_suaveolens,tagetes_minuta,tinnea_aethiopica,tribulus_terrestris,aristida_congesta,aristida_kenyensis,bothriochloa_insculpta,brachiaria_eruciformis,brachiaria_lachnantha,brachiaria_leersioides,cenchrus_ciliaris,chloris_roxburghiana,chloris_unknown,chloris_virgata,cymbopogon_pospischilii,cynodon_dactylon,cynodon_plectostachyus,dactyloctenium_unknown,dinebra_unknown,digitaria_unknown,enneapogon_schimperanus,enneapogon_macrostachyus,eragrostis_papposa,eragrostis_racemosa,eragrostis_rigidior,eragrostis_superba,eragrostis_tenuiflora,harpachne_schimperi,heteropogon_unknown,hordeum_vulgare,lintonia_nutans,microchloa_kunthii,pennisetum_purpureum,oxygonum_sinuatum,panicum_maximum,pennisetum_mezianum,pennisetum_stramineum,pentanisia_ouranogyne,rhynchelytrum_repens,setaria_incrassata,setaria_sphacilata,sporobolus_africanus,sporobolus_festivus,sporobolus_kenyensis,sporobolus_pyramidalis,themeda_triandra,tragus_berteronianus,cyperus_unknown,schkuhria_pinnata,abutilon_mauritianum,acacia_brevispica,cadaba_farinosa,capparis_tomentosa,carissa_edulis,clausena_anisata,combretum_unknown,dyschoriste_radicans,grewia_unknown,gutenbergia_cordifolia,hibiscus_unknown,indigofera_unknown,jasminium_unknown,lycium_europaeum,phyllanthus_unknown,plectranthus_unknown,pollichia_campestris,psiadia_punctulata,pyrostria_phyllanthoidea,rhamnus_staddo,schoenoplectus_unknown,scutia_myrtina,waltheria_unknown,aloe_vera,euphorbia_unknown,kalanchoe_unknown,kleinia_unknown,portulaca_unknown,sansevieria_unknown,acacia_drepanolobium,acacia_etbaica,acacia_gerradii,acacia_mellifera,acacia_nilotica,acacia_seyal,acacia_tortilis,acacia_xanthophloea,boscia_unknown,commiphora_unknown,cordia_monoica,eucalyptus_unknown,euclea_unknown,ficus_unknown,maytenus_unknown,sesbania_sesban,teclea_unknown,longitude,latitude,annual_rainfall,frac_veg,erosion,root_dep_res_50cm,soil_org_carb,pH,sand,soil_pc1,soil_pc2
KLEE S-0,Fenced,42,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,6,169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,24,92,0,0,4,0,0,0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,36.86761,0.28147,585.40466,0.5599,0.458,0.438,24.31797,6.32365,17.55234,-0.81549,0.41799
KLEE S-MWC,Conserved,42,2,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,14,79,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,15,0,0,1,0,18,35,0,0,0,0,0,4,0,0,87,4,2,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.865,0.2782,587.96124,0.4464,0.474,0.396,15.26557,6.03969,24.64603,-0.23612,-0.22697
KLEE C-0,Fenced,41,0,0,4,0,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,10,171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,94,0,0,0,2,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86652,0.28373,586.97681,0.55065,0.34,0.532,24.93781,6.19895,19.8927,-1.18395,0.88257
KLEE C-MWC,Conserved,41,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,14,100,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,21,1,0,0,0,22,58,0,0,0,0,0,0,0,0,135,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86421,0.28479,586.97681,0.47216,0.242,0.412,15.38527,6.19379,20.4128,-0.8818,-0.46962
KLEE N-0,Fenced,40,0,0,10,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,161,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,30,104,0,0,0,0,2,0,0,0,26,0,0,0,0,0,8,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86565,0.2898,582.34723,0.57266,0.344,0.614,20.81266,6.09272,18.78538,-1.13007,1.31687
KLEE N-MWC,Conserved,40,1,0,3,0,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,9,0,0,0,0,7,0,0,0,1,0,1,0,0,1,0,24,21,74,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,42,0,0,0,0,44,67,2,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86396,0.293,577.72754,0.51316,0.232,0.444,14.37271,6.22652,22.74499,-0.63489,-0.31526
S3 LMH,Fenced,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,3,1,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,30,47,0,0,0,0,17,0,0,0,0,3,1,0,0,0,2,0,0,5,27,29,2,0,0,1,0,0,0,0,13,2,2,0,0,1,0,0,0,0,0,0,2,1,5,8,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89176,0.28722,570.89288,0.59814,0.442,0.35,23.5257,6.2999,14.69809,-1.06116,-0.23254
S3 CONTROL,Conserved,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,13,0,0,2,0,0,0,0,4,32,12,1,0,0,0,0,0,0,0,0,10,2,5,0,0,2,0,0,0,18,27,0,0,0,0,0,1,0,0,8,7,1,0,0,3,0,0,0,0,0,0,0,5,1,8,1,0,2,4,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89259,0.28701,570.89288,0.4364,0.466,0.554,15.95818,6.37913,23.72224,0.2391,0.89488
S2 LMH,Fenced,38,0,1,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,10,18,26,0,0,0,0,11,0,0,0,0,4,12,1,0,0,16,0,0,3,0,8,2,0,0,0,0,7,0,0,5,1,2,0,0,1,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,36.8938,0.28271,576.38574,0.54913,0.334,0.452,18.97416,5.83632,14.21495,-1.80161,0.13191
S2 CONTROL,Conserved,38,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36.8944,0.28387,576.38574,0.47789,0.252,0.306,14.9727,6.09078,20.10221,-1.05228,-1.20562
